case_id,variant,variant_id
faker#726,"('SubmitCommit', 'OpenPR', 'ReviewComment', 'IssueComment', 'Revise', 'ReviewComment', 'IssueComment', 'IssueComment', 'IssueComment', 'ClosePR', 'DeleteBranch')",22
faker#728,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'ClosePR', 'DeleteBranch')",23
faker#729,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'IssueComment', 'ClosePR', 'DeleteBranch')",24
faker#733,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'IssueComment', 'Revise', 'IssueComment', 'IssueComment', 'IssueComment', 'Revise', 'IssueComment', 'IssueComment', 'ClosePR', 'DeleteBranch')",25
faker#757,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'ReviewComment', 'IssueComment', 'ReviewRequested', 'IssueComment', 'ReviewRequested', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'ReviewRejected', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'Revise', 'ReviewComment', 'Revise', 'ReviewRejected', 'ClosePR', 'DeleteBranch')",26
faker#779,"('SubmitCommit', 'OpenPR', 'IssueComment', 'Revise', 'IssueComment', 'IssueComment', 'ReviewComment', 'Revise', 'ReviewComment', 'Revise', 'ClosePR', 'DeleteBranch')",27
faker#796,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'IssueComment', 'ReviewApproved', 'ReviewRequested', 'ClosePR', 'DeleteBranch')",28
faker#816,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'IssueComment', 'Revise', 'ReviewRejected', 'Revise', 'ReviewRequested', 'ReviewRequested', 'Revise', 'ReviewRequested', 'ReviewRejected', 'IssueComment', 'Revise', 'IssueComment', 'ReviewApproved', 'ReviewRequested', 'ReviewRequested', 'Revise', 'IssueComment', 'IssueComment', 'IssueComment', 'ClosePR', 'DeleteBranch')",29
faker#851,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'IssueComment', 'ReviewRejected', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'ReviewApproved', 'IssueComment', 'ClosePR', 'DeleteBranch')",30
faker#858,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'ReviewRequested', 'ReviewRequested', 'ReviewComment', 'IssueComment', 'ReviewComment', 'ReviewRejected', 'ReviewComment', 'IssueComment', 'ClosePR', 'DeleteBranch')",31
faker#869,"('SubmitCommit', 'OpenPR', 'ReviewRequested', 'ReviewComment', 'IssueComment', 'ReviewComment', 'IssueComment', 'IssueComment', 'IssueComment', 'Revise', 'ReviewRequested', 'IssueComment', 'ReviewApproved', 'ReviewRejected', 'Revise', 'ReviewRequested', 'ReviewApproved', 'ReviewApproved', 'ClosePR', 'DeleteBranch')",32
faker#899,"('OpenPR', 'ReviewRequested', 'IssueComment', 'IssueComment', 'IssueComment', 'Revise', 'Revise', 'IssueComment', 'ClosePR', 'DeleteBranch')",33
faker#919,"('OpenPR', 'ReviewRequested', 'IssueComment', 'IssueComment', 'ReviewRequested', 'IssueComment', 'Revise', 'IssueComment', 'Revise', 'Revise', 'Revise', 'ClosePR')",34
faker#933,"('SubmitCommit', 'OpenPR', 'IssueComment', 'ReviewRequested', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'ClosePR', 'DeleteBranch')",35
faker#960,"('OpenPR', 'ReviewRequested', 'IssueComment', 'IssueComment', 'IssueComment', 'IssueComment', 'Revise', 'IssueComment', 'ReviewRequested', 'IssueComment', 'IssueComment', 'ReviewRequested', 'IssueComment', 'IssueComment', 'Revise', 'IssueComment', 'ReviewRequested', 'ClosePR', 'DeleteBranch')",36
